E L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16
1.0 0.31779 0 0.38189 0 0.26970 0 0.03035 0 0.00022 0 0.00004 0 0.00001 0 0 0 0
1.05 0.31060 0 0.37672 0 0.27857 0 0.03380 0 0.00025 0 0.00005 0 0.00001 0 0 0 0
1.1 0.30427 0 0.37160 0 0.28668 0 0.03709 0 0.00029 0 0.00006 0 0.00001 0 0 0 0
1.15 0.29815 0 0.36668 0 0.29426 0 0.04050 0 0.00033 0 0.00007 0 0.00001 0 0 0 0
1.2 0.29221 0 0.36208 0 0.30136 0 0.04390 0 0.00037 0 0.00007 0 0.00001 0 0 0 0
1.25 0.28670 0 0.35754 0 0.30796 0 0.04730 0 0.00041 0 0.00008 0 0.00001 0 0 0 0
1.3 0.28145 0 0.35324 0 0.31407 0 0.05068 0 0.00045 0 0.00009 0 0.00002 0 0 0 0
1.35 0.27634 0 0.34907 0 0.32013 0 0.05385 0 0.00049 0 0.00010 0 0.00002 0 0 0 0
1.4 0.27132 0 0.34500 0 0.32600 0 0.05701 0 0.00054 0 0.00011 0 0.00002 0 0 0 0
1.45 0.26650 0 0.34135 0 0.33150 0 0.05991 0 0.00060 0 0.00012 0 0.00002 0 0 0 0
1.5 0.26178 0 0.33753 0 0.33670 0 0.06316 0 0.00067 0 0.00013 0 0.00002 0 0 0 0
1.6 0.25300 0 0.33050 0 0.34620 0 0.06932 0 0.00080 0 0.00015 0 0.00003 0 0 0 0
1.7 0.24462 0 0.32393 0 0.35402 0 0.07619 0 0.00103 0 0.00018 0 0.00003 0 0 0 0
1.8 0.23712 0 0.31763 0 0.36025 0 0.08280 0 0.00195 0 0.00021 0 0.00004 0 0 0 0
1.9 0.22975 0 0.31166 0 0.36538 0 0.08893 0 0.00398 0 0.00024 0 0.00005 0 0.00001 0 0
2.0 0.22312 0 0.30582 0 0.36955 0 0.09480 0 0.00636 0 0.00028 0 0.00006 0 0.00001 0 0
2.25 0.20989 0 0.29279 0 0.37525 0 0.10892 0 0.01250 0 0.00050 0 0.00013 0 0.00002 0 0
2.5 0.19843 0 0.28139 0 0.37810 0 0.12218 0 0.01810 0 0.00137 0 0.00037 0 0.00006 0 0
2.75 0.18855 0 0.27070 0 0.37850 0 0.13431 0 0.02364 0 0.00343 0 0.00073 0 0.00013 0 0
3.0 0.18010 0 0.26137 0 0.37688 0 0.14591 0 0.02902 0 0.00530 0 0.00112 0 0.00029 0 0.00001
3.25 0.17248 0 0.25353 0 0.37341 0 0.15679 0 0.03465 0 0.00712 0 0.00147 0 0.00053 0 0.00002
3.5 0.16625 0 0.24675 0 0.36891 0 0.16660 0 0.03990 0 0.00876 0 0.00187 0 0.00093 0 0.00003
3.75 0.16065 0 0.24105 0 0.36438 0 0.17531 0 0.04470 0 0.01022 0 0.00228 0 0.00137 0 0.00004
4.0 0.15571 0 0.23638 0 0.35942 0 0.18330 0 0.04900 0 0.01163 0 0.00270 0 0.00180 0 0.00006
4.25 0.15141 0 0.23216 0 0.35439 0 0.19061 0 0.05300 0 0.01291 0 0.00314 0 0.00230 0 0.00008
4.5 0.14787 0 0.22837 0 0.34902 0 0.19740 0 0.05663 0 0.01420 0 0.00360 0 0.00280 0 0.00010
4.75 0.14502 0 0.22526 0 0.34385 0 0.20319 0 0.05992 0 0.01531 0 0.00404 0 0.00327 0 0.00013
5.0 0.14254 0 0.22239 0 0.33827 0 0.2090 0 0.06292 0 0.01650 0 0.00451 0 0.00371 0 0.00016
5.5 0.13850 0 0.21740 0 0.32737 0 0.21910 0 0.06856 0 0.01895 0 0.00538 0 0.00447 0 0.00027
6.0 0.13536 0 0.21321 0 0.31644 0 0.22784 0 0.07382 0 0.02145 0 0.00619 0 0.00517 0 0.00052
6.5 0.13253 0 0.20952 0 0.30562 0 0.23572 0 0.07900 0 0.02373 0 0.00697 0 0.00575 0 0.00116
7.0 0.12998 0 0.20638 0 0.29473 0 0.24233 0 0.08407 0 0.02614 0 0.00778 0 0.00632 0 0.00227
7.5 0.12752 0 0.20362 0 0.28424 0 0.24817 0 0.08913 0 0.02855 0 0.00860 0 0.00680 0 0.00337
8.0 0.12524 0 0.20100 0 0.27460 0 0.25350 0 0.09400 0 0.03081 0 0.00938 0 0.00722 0 0.00425
8.5 0.12314 0 0.19868 0 0.26531 0 0.25840 0 0.09860 0 0.03314 0 0.01017 0 0.00757 0 0.00499
9.0 0.12106 0 0.19630 0 0.25680 0 0.26279 0 0.10301 0 0.03554 0 0.01100 0 0.00792 0 0.00558
9.5 0.11933 0 0.19447 0 0.24842 0 0.26683 0 0.10722 0 0.03791 0 0.01174 0 0.00817 0 0.00591
10.0 0.11750 0 0.19240 0 0.24100 0 0.27009 0 0.11150 0 0.04040 0 0.01250 0 0.00840 0 0.00620
11.0 0.11380 0 0.18830 0 0.22870 0 0.27500 0 0.11950 0 0.04540 0 0.01410 0 0.00890 0 0.00630
12.0 0.11048 0 0.18457 0 0.21989 0 0.27870 0 0.12547 0 0.04982 0 0.01567 0 0.00942 0 0.00598
13.0 0.10714 0 0.18176 0 0.21147 0 0.28097 0 0.13177 0 0.05440 0 0.01735 0 0.00975 0 0.00539
14.0 0.10417 0 0.17842 0 0.20462 0 0.28233 0 0.13800 0 0.05841 0 0.01894 0 0.01021 0 0.00490
15.0 0.10090 0 0.17540 0 0.19890 0 0.28260 0 0.14370 0 0.06270 0 0.02080 0 0.01060 0 0.00440
16.0 0.09789 0 0.17212 0 0.19276 0 0.28232 0 0.15003 0 0.06709 0 0.02279 0 0.01101 0 0.00399
17.0 0.09522 0 0.16962 0 0.18744 0 0.28104 0 0.15595 0 0.07090 0 0.02489 0 0.01129 0 0.00365
18.0 0.09244 0 0.16691 0 0.18201 0 0.27909 0 0.16229 0 0.07518 0 0.02721 0 0.01156 0 0.00332
19.0 0.08962 0 0.16408 0 0.17670 0 0.27681 0 0.16837 0 0.07978 0 0.02974 0 0.01187 0 0.00303
20.0 0.08704 0 0.16210 0 0.17259 0 0.27436 0 0.17296 0 0.08369 0 0.03236 0 0.01213 0 0.00277
