E L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16
1.019310099306848 0.8513 0.1130 -0.0206 0.0220 0.0191 0.0113 0.0033 0.0005 0.0001 0 0 0 0 0 0 0 0
1.0792695169131332 0.8284 0.1163 -0.0094 0.0250 0.0218 0.0132 0.0040 0.0006 0.0001 0 0 0 0 0 0 0 0
1.1392289345194184 0.8045 0.1190 0.0030 0.0282 0.0245 0.0153 0.0047 0.0007 0.0001 0 0 0 0 0 0 0 0
1.1991883521257036 0.7801 0.1211 0.0165 0.0313 0.0272 0.0173 0.0054 0.00095 0.00015 0 0 0 0 0 0 0 0
1.319107187338274 0.7303 0.1237 0.0458 0.0376 0.0324 0.0217 0.00715 0.0012 0.00015 0 0 0 0 0 0 0 0
1.4390260225508442 0.6810 0.1246 0.0767 0.0436 0.0371 0.0261 0.0090 0.0017 0.0002 0 0 0 0 0 0 0 0
1.5589448577634148 0.6337 0.1242 0.1079 0.0491 0.0411 0.0306 0.0109 0.0022 0.0003 0 0 0 0 0 0 0 0
1.678863692975985 0.5895 0.1230 0.1381 0.0541 0.0443 0.0350 0.0130 0.0027 0.0003 0 0 0 0 0 0 0 0
1.7987825281885554 0.5493 0.1212 0.16635 0.0584 0.04665 0.0394 0.01505 0.00325 0.0004 0 0 0 0 0 0 0 0
1.9187013634011258 0.5137 0.1193 0.1917 0.0620 0.0482 0.0437 0.0171 0.0038 0.0005 0 0 0 0 0 0 0 0
2.038620198613696 0.4822 0.1175 0.2137 0.0649 0.04915 0.04815 0.0193 0.0045 0.0006 0 0 0 0 0 0 0 0
2.1585390338262664 0.4554 0.11645 0.2316 0.0670 0.0495 0.0526 0.0215 0.0052 0.00075 0 0 0 0 0 0 0 0
2.278457869038837 0.4298 0.1178 0.2461 0.0690 0.04985 0.0569 0.0236 0.0060 0.0009 0.00005 0 0 0 0 0 0 0
2.3983767042514073 0.4084 0.1170 0.25845 0.0712 0.0495 0.0617 0.0258 0.0068 0.0011 0.00005 0 0 0 0 0 0 0
2.5182955394639777 0.3909 0.1160 0.2668 0.0729 0.0493 0.0668 0.0283 0.0076 0.0013 0.0001 0 0 0 0 0 0 0
2.638214374676548 0.3764 0.1152 0.2714 0.0741 0.0496 0.0724 0.0308 0.0085 0.0015 0.0001 0 0 0 0 0 0 0
2.758133209889118 0.3641 0.1145 0.2725 0.07495 0.0506 0.0784 0.0336 0.0095 0.0017 0.0001 0.00005 0 0 0 0 0 0
2.8780520451016884 0.3535 0.1140 0.2705 0.0756 0.0524 0.0848 0.0365 0.0105 0.0020 0.00015 0.00005 0 0 0 0 0 0
2.9979708803142593 0.3440 0.1136 0.2659 0.07585 0.0552 0.0916 0.0396 0.01165 0.0023 0.0002 0.0001 0 0 0 0 0 0
3.1178897155268297 0.3355 0.1133 0.2593 0.0756 0.0589 0.0989 0.0428 0.0128 0.0026 0.0002 0.0001 0 0 0 0 0 0
3.2378085507394 0.3276 0.1128 0.2511 0.0748 0.0635 0.1064 0.0463 0.01405 0.0030 0.0003 0.00015 0 0 0 0 0 0
3.35772738595197 0.3202 0.1122 0.2420 0.0733 0.0688 0.1142 0.0500 0.0153 0.0035 0.0003 0.0002 0 0 0 0 0 0
3.4776462211645405 0.3134 0.1114 0.2324 0.0709 0.0747 0.12215 0.0539 0.0166 0.0040 0.00035 0.0002 0 0 0 0 0 0
3.597565056377111 0.3070 0.1102 0.2228 0.0678 0.0809 0.1301 0.0579 0.0181 0.0045 0.0004 0.0003 0 0 0 0 0 0
3.7174838915896813 0.3011 0.1087 0.2136 0.0639 0.0873 0.1378 0.0621 0.0196 0.0051 0.0005 0.0003 0 0 0 0 0 0
3.8374027268022517 0.2956 0.1067 0.2049 0.0593 0.0938 0.1453 0.0665 0.0211 0.0058 0.0006 0.0004 0 0 0 0 0 0
3.9573215620148217 0.2905 0.1044 0.1971 0.0540 0.1002 0.1525 0.0710 0.0227 0.0065 0.0007 0.0004 0 0 0 0 0 0
4.077240397227392 0.2858 0.1017 0.1901 0.0483 0.1063 0.1591 0.0756 0.0244 0.0074 0.0008 0.0005 0 0 0 0 0 0
4.1971592324399625 0.2814 0.0986 0.1842 0.0422 0.1121 0.1652 0.0803 0.0261 0.0083 0.0010 0.0006 0 0 0 0 0 0
4.496956320471389 0.27082 0.08835 0.17470 0.0278 0.12491 0.17694 0.09247 0.03044 0.01073 0.00171 0.00105 0.00006 0.00002 0 0 0 0
4.7967534085028145 0.26178 0.07872 0.17121 0.01522 0.13170 0.18370 0.10478 0.03395 0.01364 0.00320 0.00167 0.00025 0.00018 0 0 0 0
5.09655049653424 0.25404 0.0709 0.1681 0.0051 0.1349 0.18795 0.11715 0.03663 0.01711 0.00435 0.00253 0.00044 0.00080 0 0 0 0
5.3963475845656665 0.24749 0.06635 0.16375 -0.0039 0.13506 0.1906 0.12942 0.03895 0.0213 0.00518 0.00345 0.00064 0.0017 0 0 0 0
5.696144672597092 0.24173 0.06391 0.15933 -0.0120 0.1336 0.19189 0.14172 0.04109 0.0246 0.0060 0.0044 0.0008 0.0028 0.00013 0 0 0
5.995941760628519 0.2365 0.0626 0.1546 -0.0192 0.1305 0.1928 0.1541 0.0431 0.0273 0.0068 0.0053 0.0011 0.0040 0.0005 0 0 0
6.145840304644231 0.2341 0.0621 0.1523 -0.0224 0.1288 0.1930 0.1602 0.0440 0.0285 0.0072 0.0058 0.0012 0.0045 0.0007 0 0 0
6.295738848659944 0.2316 0.0618 0.1501 -0.0251 0.1270 0.1929 0.1663 0.0448 0.0297 0.0076 0.0063 0.0013 0.0049 0.0008 0 0 0
