5.000000000000000000e-01 0.000000000000000000e+00
5.095095095095094617e-01 0.000000000000000000e+00
5.190190190190190345e-01 0.000000000000000000e+00
5.285285285285284962e-01 0.000000000000000000e+00
5.380380380380380689e-01 0.000000000000000000e+00
5.475475475475475307e-01 0.000000000000000000e+00
5.570570570570571034e-01 0.000000000000000000e+00
5.665665665665665651e-01 0.000000000000000000e+00
5.760760760760761379e-01 0.000000000000000000e+00
5.855855855855855996e-01 0.000000000000000000e+00
5.950950950950950613e-01 0.000000000000000000e+00
6.046046046046046341e-01 0.000000000000000000e+00
6.141141141141140958e-01 0.000000000000000000e+00
6.236236236236236685e-01 0.000000000000000000e+00
6.331331331331331302e-01 0.000000000000000000e+00
6.426426426426425920e-01 0.000000000000000000e+00
6.521521521521521647e-01 0.000000000000000000e+00
6.616616616616617375e-01 0.000000000000000000e+00
6.711711711711711992e-01 0.000000000000000000e+00
6.806806806806806609e-01 0.000000000000000000e+00
6.901901901901902336e-01 0.000000000000000000e+00
6.996996996996996954e-01 0.000000000000000000e+00
7.092092092092092681e-01 0.000000000000000000e+00
7.187187187187187298e-01 0.000000000000000000e+00
7.282282282282281916e-01 0.000000000000000000e+00
7.377377377377377643e-01 0.000000000000000000e+00
7.472472472472473370e-01 0.000000000000000000e+00
7.567567567567567988e-01 0.000000000000000000e+00
7.662662662662662605e-01 5.703705180927650287e-23
7.757757757757757222e-01 1.392510731433648568e-22
7.852852852852852950e-01 2.376704733947983641e-22
7.947947947947948677e-01 3.458345086567192465e-22
8.043043043043043294e-01 4.598031483124394025e-22
8.138138138138137911e-01 5.779480546393363640e-22
8.233233233233233639e-01 6.993593172704243421e-22
8.328328328328329366e-01 8.214580047607071337e-22
8.423423423423423984e-01 9.438235181634684044e-22
8.518518518518518601e-01 1.065804235243149606e-21
8.613613613613613218e-01 1.185928123293137489e-21
8.708708708708708945e-01 1.304860474968689853e-21
8.803803803803804673e-01 1.421152054867775106e-21
8.898898898898899290e-01 1.535337172982593165e-21
8.993993993993993907e-01 1.646957761445284419e-21
9.089089089089089635e-01 1.755126172360714618e-21
9.184184184184184252e-01 1.862179967253321644e-21
9.279279279279279979e-01 1.963156217595454363e-21
9.374374374374374597e-01 2.063081310375986501e-21
9.469469469469469214e-01 2.158203865046110866e-21
9.564564564564564941e-01 2.251710895531754789e-21
9.659659659659660669e-01 2.341209852630187965e-21
9.754754754754755286e-01 2.428506713527845186e-21
9.849849849849849903e-01 2.511140693803385333e-21
9.944944944944945631e-01 2.591975213231061623e-21
1.004004004004003914e+00 2.668080159910169536e-21
1.013513513513513598e+00 2.743207445420735691e-21
1.023023023023023059e+00 2.812660256019743866e-21
1.032532532532532521e+00 2.882113066618752042e-21
1.042042042042042205e+00 2.946115510959120427e-21
1.051551551551551444e+00 3.009705421962107743e-21
1.061061061061061128e+00 3.069352433909076716e-21
1.070570570570570590e+00 3.126561724590336795e-21
1.080080080080080052e+00 3.182535113113108691e-21
1.089589589589589735e+00 3.233737692885653116e-21
1.099099099099099197e+00 3.284940272658196413e-21
1.108608608608608659e+00 3.331748515305089708e-21
1.118118118118118121e+00 3.376548615436374703e-21
1.127627627627627582e+00 3.421073150633826653e-21
1.137137137137137266e+00 3.460617043160256155e-21
1.146646646646646728e+00 3.500160935686684152e-21
1.156156156156156189e+00 3.537942758578027520e-21
1.165665665665665873e+00 3.571533629752479418e-21
1.175175175175175113e+00 3.605124500926929812e-21
1.184684684684684797e+00 3.636864076370603118e-21
1.194194194194194258e+00 3.665920864478351981e-21
1.203703703703703720e+00 3.694977652586100845e-21
1.213213213213213404e+00 3.722075946891045211e-21
1.222722722722722644e+00 3.745975469577072363e-21
1.232232232232232327e+00 3.769874992263099514e-21
1.241741741741741789e+00 3.792824515183896526e-21
1.251251251251251251e+00 3.811968677130084277e-21
1.260760760760760935e+00 3.831112839076273534e-21
1.270270270270270174e+00 3.850257001022461286e-21
1.279779779779779858e+00 3.865903102429242992e-21
1.289289289289289320e+00 3.880964173585346145e-21
1.298798798798798781e+00 3.896025244741449298e-21
1.308308308308308465e+00 3.909823964637056948e-21
1.317817817817817927e+00 3.921147092153546922e-21
1.327327327327327389e+00 3.932470219670036144e-21
1.336836836836836850e+00 3.943793347186526118e-21
1.346346346346346312e+00 3.952655137587686936e-21
1.355855855855855996e+00 3.960061995436819311e-21
1.365365365365365458e+00 3.967468853285951686e-21
1.374874874874874919e+00 3.974875711135084062e-21
1.384384384384384603e+00 3.980101601547116887e-21
1.393893893893893843e+00 3.984450455643066405e-21
1.403403403403403527e+00 3.988799309739015170e-21
1.412912912912912988e+00 3.993148163834964688e-21
1.422422422422422450e+00 3.995786098237510463e-21
1.431931931931932134e+00 3.997155181934383237e-21
1.441441441441441373e+00 3.998524265631255258e-21
1.450950950950951057e+00 3.999893349328128031e-21
1.460460460460460519e+00 4.000752563147855466e-21
1.469969969969969981e+00 3.999461712805090310e-21
1.479479479479479664e+00 3.998170862462324402e-21
1.488988988988989126e+00 3.996880012119559246e-21
1.498498498498498588e+00 3.995589161776793337e-21
1.508008008008008050e+00 3.993018761696076220e-21
1.517517517517517511e+00 3.989374007787090745e-21
1.527027027027027195e+00 3.985729253878104519e-21
1.536536536536536657e+00 3.982084499969118292e-21
1.546046046046046119e+00 3.978439746060132817e-21
1.555555555555555580e+00 3.973662791151314114e-21
1.565065065065065042e+00 3.968146572693101283e-21
1.574574574574574726e+00 3.962630354234888452e-21
1.584084084084084187e+00 3.957114135776676374e-21
1.593593593593593649e+00 3.951597917318463543e-21
1.603103103103103111e+00 3.945457424135892385e-21
1.612612612612612795e+00 3.938146056998390746e-21
1.622122122122122256e+00 3.930834689860889108e-21
1.631631631631631718e+00 3.923523322723387470e-21
1.641141141141141180e+00 3.916211955585885832e-21
1.650650650650650642e+00 3.908900588448384194e-21
1.660160160160160325e+00 3.900456831750453406e-21
